name,age,date
Jimi Hendrix,27,1970-09-18
Chris Farley,33,1997-12-18
Mitch Hedberg,37,2005-03-30
Norm MacDonald,61,2021-09-14
John Lennon,40,1980-12-08
Jim Morrison,27,1971-07-03
Bob Saget,65,2022-01-09
John Belushi,33,1982-03-05
George Harrison,58,2001-11-29
Janis Joplin,27,1970-10-04
Kurt Cobain,27,1994-04-05
Robin Williams,63,2014-08-11
Hunter S. Thompson,67,2005-02-20
Bob Einstein,76,2019-01-02
Don Rickles,90,2017-04-06
Charlie Murphy,57,2017-04-12
Garry Shandling,66,2016-03-24
George Carlin,71,2008-06-22
Richard Pryor,65,2005-12-10
Rodney Dangerfield,82,2004-10-05
Phil Hartman,49,1998-05-28
Bill Hicks,32,1994-02-26
Sam Kinison,38,1992-04-10
Gilda Radner,42,1989-05-20
Jerry Stiller,92,2020-05-11
Aaron Swartz,26,2013-01-11
